Rank	Medical College	Last Rank Allotted	State	Allotted Quota
196	GMC KARAULI	10145	Rajasthan	All India
197	Govt Medical college Shivpuri	10169	Madhya Pradesh	All India
198	Govt Medical College Firozabad	10201	Uttar Pradesh	All India
199	ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE, GAYA	10286	Bihar	All India
200	GMC, Shahjhanpur	10289	Uttar Pradesh	All India
201	Rani Durgavati Medical College, Banda	10445	Uttar Pradesh	All India
202	Government Medical College, Dholpur	10450	Rajasthan	All India
203	NORTH BENGAL MED.COLL, DARJEELING	10476	West Bengal	All India
204	Rajarshee Chhatrapati Shahu Maharaj Government Medical College Kolhapur	10491	Maharashtra	All India
205	Govt. Medical College Karur	10497	Tamil Nadu	All India
206	GOVERNMENT MEDICAL COLLEGE, BUNDI	10526	Rajasthan	All India
207	BANKURA SAMMILANI MED COLL, BANKURA	10552	West Bengal	All India
208	Sri Venkateswara Medical College, Tirupati	10579	Andhra Pradesh	All India
209	VIJAYNAGAR INST OF MED. SC, BELLARY	10621	Karnataka	All India
210	SOBAN SINGH JEENA GOVT. INSTITUTE OF MEDICAL SCIENCE & RESEARCH, ALMORA	10713	Uttarakhand	All India
211	Rajkiya Medical College, Jalaun	10723	Uttar Pradesh	All India
212	Siddartha Medical College, Vijayawada	10733	Andhra Pradesh	All India
213	Government Medical College, Hanumangarh	10772	Rajasthan	All India
214	Gulbarga Institute of Medical Sciences, Gulbarga	10807	Karnataka	All India
215	Government Medical College, Baramulla	10815	Jammu and Kashmir	All India
216	Rajah Muthiah Medical College, Annamalai University	10846	Tamil Nadu	All India
217	GOVERNMENT MEDICAL COLLEGE, LATUR	10878	Maharashtra	All India
218	GTMC, THIRUVARUR	11098	Tamil Nadu	All India
219	Govt. Pudukkottai Medical College Hospital, Pudukkottai	11172	Tamil Nadu	All India
220	Government Medical College, Seoni	11202	Madhya Pradesh	All India
221	DR. S.C. GOVT MEDICAL COLLEGE, NANDED	11255	Maharashtra	All India
222	SHEIKH BHIKHARI MEDICAL COLLEGE & HOSPITAL, HAZARIBAG	11293	Jharkhand	All India
223	Government Medical College, Datia	11440	Madhya Pradesh	All India
224	Govt. Sivgangai Medical College, Sivagangai	11487	Tamil Nadu	All India
225	Govt. Medical College, Khandwa	11588	Madhya Pradesh	All India
226	MAHARSHI DEVRAHA BABA AUTONOMOUS STATE MEDICAL COLLEGE, DEORIA	11706	Uttar Pradesh	All India
227	Govt Medical College Basti	11715	Uttar Pradesh	All India
228	Autonomous State Medical College, Fatehpur	11757	Uttar Pradesh	All India
229	Diamond Harbour Govt Medical College	11809	West Bengal	All India
230	SHRI BHAUSAHEB HIRE GOVT. M.C., DHULE	11896	Maharashtra	All India
231	ASSAM MEDICAL COLLEGE, DIBRUGARH	11898	Assam	All India
232	Kalyan Singh Government Medical College, Bulandshahr	11906	Uttar Pradesh	All India
233	Autonomous State Medical College, Etah	11914	Uttar Pradesh	All India
234	Government Medical College, Kathua	12036	Jammu and Kashmir	All India
235	GOVERNMENT MEDICAL COLLEGE, AKOLA	12051	Maharashtra	All India
236	Government Medical College, Virudhunagar	12054	Tamil Nadu	All India
237	SWAMI RAMANAND TIRTH RURAL M.C, AMBAJOGAI	12112	Maharashtra	All India
238	Government Medical College, Bettiah	12118	Bihar	All India
239	Government Medical College, Krishnagiri	12165	Tamil Nadu	All India
240	MIDNAPORE MEDICAL COLLEGE, MIDNAPUR	12197	West Bengal	All India
241	Government medical College, Namakkal	12208	Tamil Nadu	All India
242	Rajiv Gandhi Institute Medical Sciences of Adilabad	12222	Telangana	All India
243	Lt. L A M Govt. Medical College, Raigarh	12292	Chhattisgarh	All India
244	Government Medical College, Dindigul	12300	Tamil Nadu	All India
245	GMC, Bahraich	12318	Uttar Pradesh	All India
246	Autonomous State Medical College Society, Hardoi	12321	Uttar Pradesh	All India
247	Chhindwara Institute of Medical Sciences	12368	Madhya Pradesh	All India
248	Government Medical College and Hospital, Balasore	12393	Odisha	All India
249	Autonomous State Medical College, Kushinagar	12394	Uttar Pradesh	All India
250	Government Medical College, Nilgiris	12487	Tamil Nadu	All India
251	Kodagu Institute of Medical Sciences, Kodagu	12594	Karnataka	All India
252	Autonomous State Medical College, Siddharthnagar	12636	Uttar Pradesh	All India
253	GMERS Medical College, Morbi	12664	Gujarat	All India
254	Autonomous State Medical College, Kanpur Dehat	12841	Uttar Pradesh	All India
255	UNS Autonomous State Medical College, Jaunpur	12907	Uttar Pradesh	All India
256	Barasat Government Medical College & Hospital	12940	West Bengal	All India
257	Jannayak Karpoori Thakur Medical College and Hospital, Madhepura	12983	Bihar	All India
258	Bidar Institute of Medical Sciences	12991	Karnataka	All India
259	Autonomous State Medical College Society, Mirzapur	13014	Uttar Pradesh	All India
260	Lt. B R K Government Medical College, Jagdalpur	13041	Chhattisgarh	All India
261	Govt Medical College Shahdol	13104	Madhya Pradesh	All India
262	Government Medical College, Ariyalur	13107	Tamil Nadu	All India
